Severity,MCG,Region,Source,Year,Host,Isolate,5-2(F),5-3(F),6-2(F),7-2(F),8-3(H),9-2(F),12-2(H),17-3(H),20-3(F),36-4(F),50-4(F),55-4(F),92-4(F),106-4(H),110-4(H),114-4(H)
4.4,8,CO,luc,2007,Yellow,729,320,320,489,170,254,360,218,348,280,415,532,157,375,552,370,359
3.8,8,CO,luc,2007,Yellow,730,320,320,489,170,254,360,218,348,280,415,532,157,375,552,370,359
4.7,7,CO,gree,2007,Yellow,731,320,318,495,160,244,360,216,357,280,417,532,169,376,532,374,339
4,8,CO,gree,2007,Yellow,732,320,320,489,170,244,360,218,348,280,415,532,157,375,552,370,359
3.8,8,CO,gree,2007,Yellow,733,320,320,489,170,254,360,218,348,280,415,532,157,376,552,370,359
5.2,9,CO,gree,2007,Yellow,734,320,318,495,160,244,360,216,357,280,417,532,212,376,532,374,339
4.5,45,CO,gree,2007,Yellow,735,320,328,489,172,252,360,216,348,280,415,532,173,376,571,386,371
4.5,8,CO,gree,2007,Yellow,736,320,320,489,170,254,360,218,348,280,415,532,157,376,552,370,359
4,45,CO,gree,2007,Yellow,737,320,328,489,172,252,360,216,348,280,415,532,173,375,571,386,371
4.4,7,CO,eat,2007,Yellow,738,320,318,495,162,244,360,216,357,280,417,532,169,376,532,374,339
4.2,8,CO,eat,2007,Yellow,739,320,320,489,170,254,360,218,348,280,415,532,157,376,552,370,359
3.9,45,CO,eat,2007,Yellow,740,320,328,489,172,252,360,216,348,280,415,532,173,376,571,386,371
3.9,45,CO,eat,2007,Yellow,741,320,328,489,172,252,360,216,348,280,415,531,173,376,571,386,371
3.8,69,CO,eat,2007,Yellow,743,320,339,489,172,250,360,216,348,280,415,532,173,380,551,382,375
4.3,45,CO,eat,2007,Yellow,744,320,330,489,172,252,360,216,348,280,415,532,173,376,571,386,371
4.3,45,NE,mtc,2007,Beryl,746,320,328,489,172,252,360,216,348,280,415,532,173,376,571,386,371
6.3,44,NE,mtc,2007,Beryl,747,320,330,495,160,244,360,216,354,280,415,532,188,376,577,374,339
5.7,9,NE,mtc,2007,Beryl,748,320,318,495,160,244,360,216,357,280,417,532,212,375,532,374,339
5.7,9,NE,mtc,2007,Beryl,749,320,318,495,160,244,360,216,357,280,417,532,212,376,533,374,339
5.6,44,NE,mtc,2007,Beryl,750,320,330,495,160,244,360,216,354,280,415,532,188,376,577,374,339
5.3,44,NE,sbf,2007,Beryl,751,320,330,495,160,244,360,216,354,280,415,532,188,376,577,374,339
5.7,44,NE,sbf,2007,Weihing,752,320,330,495,160,244,360,216,354,280,415,532,188,375,573,374,339
4.4,1,NE,sbf,2007,Weihing,753,320,339,483,170,250,368,216,348,280,415,532,157,376,588,386,343
4.8,1,NE,sbf,2007,Weihing,754,320,339,483,170,250,368,216,348,280,415,532,157,376,588,386,343
4.5,44,NE,sbf,2007,Beryl,755,320,339,495,160,244,360,216,354,280,415,531,188,375,573,374,339
4,58,WA,prsr,2007,Pinto,756,324,296,489,170,252,360,222,348,280,415,532,173,376,576,378,367
4.4,70,WA,prsr,2007,Pinto,757,324,339,483,172,252,362,222,342,280,415,532,165,380,567,386,359
4.1,71,WA,prsr,2007,Pinto,758,320,308,483,170,250,360,222,342,280,415,532,165,380,567,386,355
4.3,72,WA,prsr,2007,Pinto,759,322,308,483,172,250,360,222,342,280,415,532,173,376,576,378,367
4.5,5,WA,prsr,2007,Pinto,760,322,308,483,172,248,360,222,348,280,415,532,173,380,567,378,367
4.1,5,WA,prsr,2007,Pinto,762,324,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
3.8,73,WA,prsr,2007,Pinto,763,320,339,489,170,248,360,216,342,280,415,532,173,379,571,378,355
3.9,73,WA,prsr,2007,redkid,764,320,339,489,170,248,360,216,342,280,415,532,173,375,584,378,355
3.2,61,WA,prsr,2007,redkid,765,320,339,489,172,252,362,216,348,280,415,532,173,375,584,386,367
3.7,74,WA,prsr,2007,redkid,766,322,339,489,170,250,362,216,342,280,415,532,165,376,548,370,355
3.8,75,WA,prsr,2007,redkid,767,324,339,489,170,252,360,216,342,280,415,532,173,376,548,370,355
4.1,70,WA,prsr,2007,redkid,768,322,339,483,172,250,362,216,348,280,415,532,165,380,567,386,359
4.8,76,WA,prsr,2007,redkid,769,324,308,489,170,252,360,216,342,280,415,532,173,376,567,378,367
4.3,75,WA,prsr,2007,redkid,770,320,339,489,170,252,360,222,348,282,415,532,169,376,548,370,355
3.6,58,WA,prsr,2007,Merlot,771,324,296,489,172,252,360,222,348,280,415,532,173,376,576,378,367
5.1,5,WA,prsr,2007,Merlot,772,324,308,483,170,252,360,222,348,280,415,532,173,380,567,378,367
4.5,5,WA,prsr,2007,Merlot,773,320,328,489,160,252,360,216,348,280,415,532,169,375,589,378,371
4.3,2,WA,prsr,2007,Merlot,774,322,308,483,170,252,360,222,348,280,415,532,173,380,567,378,367
4.3,70,WA,prsr,2007,Merlot,775,320,327,495,170,256,364,216,360,280,415,532,157,378,584,370,408
4.8,2,WA,prsr,2007,Merlot,776,320,321,489,160,252,360,218,342,280,415,532,169,375,548,370,355
3.8,77,WA,prsr,2007,Merlot,777,320,330,495,172,250,360,216,363,280,417,532,216,375,590,374,339
4.1,78,WA,prsr,2007,Merlot,778,324,308,483,170,250,360,222,348,280,415,532,173,379,567,378,367
5.4,53,WA,wmn,2008,11A,786,320,296,495,172,250,360,218,342,280,415,532,157,375,502,370,387
5.8,2,WA,wmn,2008,cornell,787,320,327,495,160,250,360,218,342,280,415,531,157,427,552,370,367
6,5,WA,wmn,2008,WM31,788,320,296,495,170,270,382,222,348,280,415,532,157,375,502,370,371
4.8,79,WA,wmn,2008,Bunsi,789,320,327,483,172,252,360,216,342,280,415,531,157,375,502,370,387
5,80,WA,wmn,2008,37,790,320,296,483,172,256,360,222,360,280,415,531,157,375,556,370,416
5.4,53,WA,wmn,2008,G122,791,320,327,495,172,252,372,216,360,280,415,531,157,377,511,386,416
5.8,2,WA,wmn,2008,PO7863,792,320,327,483,172,252,360,216,360,280,415,532,157,376,567,374,416
5.3,81,WA,wmn,2008,Orion,793,320,320,495,172,252,382,218,342,280,415,532,157,375,502,370,387
5.3,82,WA,wmn,2008,Beryl,794,320,327,495,160,270,370,216,348,280,415,532,157,375,556,370,371
5.4,80,WA,wmn,2008,PO7104,795,320,320,483,160,254,362,218,360,280,415,532,157,379,571,382,375
4.8,53,WA,wmn,2008,38,796,320,320,483,160,252,360,218,348,280,415,532,173,375,548,378,355
5.2,79,WA,wmn,2008,cornell,797,320,327,483,160,250,380,216,342,280,415,532,165,375,567,370,367
6.3,16,MI,wmn,2008,Bunsi,798,320,308,489,160,252,360,222,342,280,415,531,173,375,567,386,367
4.5,20,MI,wmn,2008,cornell,799,320,308,483,160,252,360,222,342,280,415,531,165,376,567,386,355
5.2,20,MI,wmn,2008,11A,800,320,308,483,170,252,360,222,342,280,415,531,165,376,567,386,355
4.6,5,MI,wmn,2008,G122,801,320,320,489,170,252,360,218,342,280,415,532,169,375,541,370,339
5.8,5,MI,wmn,2008,cornell,802,320,308,483,160,252,360,222,342,280,415,532,165,376,567,386,355
7.1,5,MI,wmn,2008,PO7863,803,320,308,483,170,252,360,222,342,280,415,532,165,376,567,386,355
4.8,5,MI,wmn,2008,Orion,804,322,308,483,172,248,360,222,348,280,415,532,173,379,567,378,367
5.8,18,ND,stc,2010,unk,805,320,NA,483,170,252,360,216,348,280,NA,NA,165,NA,NA,382,339
7.1,17,MI,wmn,2008,Beryl,806,320,328,489,170,252,360,216,348,280,415,532,173,378,580,378,371
5.5,5,MI,wmn,2008,38,807,320,328,489,172,252,360,216,348,280,415,531,173,376,571,386,371
5,5,MI,wmn,2008,B07104,808,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,367
5.2,4,MI,wmn,2008,WM31,809,322,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
5.6,5,MI,wmn,2008,37,810,322,308,483,170,248,360,222,348,280,415,532,173,379,567,378,367
