iso_st_mcg_org_loc_yr_hst_cult_rep,106-4(H),110-4(H),114-4(H),12-2(H),17-3(H),20-3(F),36-4(F),5-2(F),5-3(F),50-4(F),55-4(F),6-2(F),7-2(F),8-3(H),9-2(F),92-4(F)
603_4.8_1_FR_wmn_2004_Bunsi,589,386,368,215,348,280,415,320,339,532,157,483,170,250,360,376
604_3.9_37_FR_wmn_2004_Bunsi,593,379,339,215,348,280,415,320,328,532,173,484,172,244,360,382
605_6.5_33_FR_wmn_2004_Beryl,548,385,372,215,348,280,415,320,339,532,165,483,172,252,360,376
606_5.5_33_FR_wmn_2004_Beryl,589,386,368,215,348,280,415,320,339,532,157,483,170,250,360,376
607_4.5_33_FR_wmn_2004_Beryl,548,385,339,215,348,280,415,320,330,532,165,483,172,252,360,376
608_4.5_34_FR_wmn_2004_G122,567,371,339,215,348,280,415,320,330,532,165,483,170,254,360,376
609_3.9_38_FR_wmn_2004_G122,555,381,372,215,348,280,415,320,308,532,173,489,170,244,360,380
610_5.5_39_FR_wmn_2004_G122,576,375,367,215,348,280,415,318,339,532,155,494,171,250,360,376
611_6.9_5_MI_wmn_2004_Beryl,567,379,368,215,348,280,415,322,328,532,173,483,172,244,360,379
615_4.3_47_MX_wmn_2005_Bunsi,540,374,355,215,351,280,415,320,327,532,173,483,173,256,372,378
616_3.9_48_MX_wmn_2005_Beryl,501,370,416,213,360,280,415,320,314,531,157,483,169,252,360,378
617_4.8_49_MX_wmn_2005_G122,564,374,355,215,357,280,415,320,328,532,173,483,173,256,372,378
618_4.8_49_MX_wmn_2005_Bunsi,564,374,416,215,357,280,415,320,328,531,173,483,174,256,372,378
619_5.4_49_MX_wmn_2005_Beryl,572,374,416,215,357,280,415,320,327,532,173,483,173,256,372,378
620_5.7_50_MX_wmn_2005_G122,541,375,355,215,351,280,415,320,327,532,157,483,174,256,372,378
621_4_51_MX_wmn_2005_Bunsi,541,375,388,215,357,280,420,320,330,532,157,483,174,256,372,377
622_4.3_49_MX_wmn_2005_Beryl,564,374,387,214,357,280,414,320,328,532,173,483,174,256,372,378
623_4.8_49_MX_wmn_2005_G122,564,374,388,215,357,280,414,320,327,532,173,483,174,256,372,377
624_4.5_48_MX_wmn_2005_G122,564,374,416,213,360,280,414,320,314,532,157,483,170,252,360,377
625_5.7_49_MX_wmn_2005_Beryl,564,374,387,215,357,280,414,320,327,532,157,483,174,256,372,377
626_4.2_49_MX_wmn_2005_Bunsi,564,374,387,215,357,280,414,320,327,531,173,483,174,256,372,377
627_3.3_49_MX_wmn_2005_G122,564,374,387,215,357,280,414,320,327,532,173,484,174,256,372,377
628_3.7_49_MX_wmn_2005_Beryl,564,374,388,215,357,280,414,320,328,532,173,483,174,256,372,378
629_4.8_52_MX_wmn_2005_Bunsi,541,375,355,215,351,280,415,320,330,532,157,483,174,256,372,378
630_5.5_50_MX_wmn_2005_G122,541,375,355,215,351,280,415,320,327,532,157,483,173,256,372,378
631_4.7_50_MX_wmn_2005_Beryl,541,374,355,215,351,280,415,320,327,532,157,483,174,256,372,378
632_4.1_47_MX_wmn_2005_Bunsi,541,374,355,215,351,280,415,320,327,532,173,483,174,256,372,378
639_4.7_44_NE_wmn_2005_G122,578,374,339,215,354,280,415,320,330,532,188,493,159,244,360,375
640_6.3_44_NE_wmn_2005_Beryl,573,375,339,215,354,280,415,320,330,532,188,493,159,244,360,376
641_5.8_44_NE_wmn_2005_Beryl,577,374,339,215,354,280,417,320,330,532,188,493,159,244,360,376
642_6.2_9_NE_wmn_2005_G122,533,374,339,215,354,280,417,320,318,532,212,493,159,244,360,376
643_5.2_6_NE_wmn_2005_G122,594,374,339,215,363,280,415,320,330,532,215,494,160,244,360,375
644_6.8_44_NE_wmn_2005_Beryl,581,374,339,215,354,280,415,320,330,532,188,493,160,244,360,375
645_4.8_53_WA_wmn_2005_Beryl,548,385,355,217,342,280,415,320,322,532,165,489,170,252,360,376
646_5.4_60_WA_wmn_2005_Bunsi,567,379,367,221,348,280,415,322,308,532,173,483,172,250,360,380
647_6.2_2_WA_wmn_2005_G122,567,385,367,215,348,280,415,322,339,532,165,483,172,250,362,379
648_4.8_53_WA_wmn_2005_Beryl,548,385,359,217,342,280,415,320,323,532,165,489,170,252,360,376
649_4.6_61_WA_wmn_2005_Bunsi,584,385,367,215,348,280,414,320,339,532,173,489,172,252,360,375
